workers,connections,server,streams,trials,full_population_trials,unexpected_server_exits,requests_per_second,min_requests_per_second,max_requests_per_second,p50_ms,min_p50_ms,max_p50_ms,p99_ms,min_p99_ms,max_p99_ms,failure_p99_ms,min_failure_p99_ms,max_failure_p99_ms,server_cpu_cores,min_server_cpu_cores,max_server_cpu_cores,server_cpu_us_per_request,min_server_cpu_us_per_request,max_server_cpu_us_per_request,client_cpu_cores,min_client_cpu_cores,max_client_cpu_cores,seconds,min_seconds,max_seconds,start_skew_ms,min_start_skew_ms,max_start_skew_ms,min_established_connections,max_established_connections,min_ready_connections,max_ready_connections,min_participating_connections,max_participating_connections,min_successful_connections,max_successful_connections,min_alive_connections,max_alive_connections,setup_unattempted,reconnections,failure_log_entries,server_tcp_retransmitted_segments,min_server_tcp_retransmitted_segments,max_server_tcp_retransmitted_segments,server_tcp_retransmits_per_second,min_server_tcp_retransmits_per_second,max_server_tcp_retransmits_per_second,setup_attempted,setup_succeeded,setup_failed,setup_failure_kinds,holding_attempted,holding_succeeded,holding_failed,holding_failure_kinds,warmup_attempted,warmup_succeeded,warmup_failed,warmup_failure_kinds,measurement_attempted,measurement_succeeded,measurement_failed,measurement_failure_kinds,measurement_failure_percent
1,16384,node,4,3,3,0,24592.663782697942,20358.221283621246,25498.380392473395,1630.0,1440.0,1810.0,1980.0,1970.0,2000.0,2010.0,2010.0,2010.0,0.9916693654445484,0.9904794751120962,0.9926472143812315,40.29183916055253,38.90626441166853,48.78293853148786,1.6106227154536836,1.583066469700232,1.6128176779204544,9.777131176,9.354398057,9.92043815,0.127887,0.092772,0.289656,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,0,0,396607,3095,2008,3627,311.8677010207409,205.2797556706861,387.5934380528397,49152,49152,0,{},44356,44356,0,{},406942,384925,22017,"{""timeout"": 22017}",1056127,681537,374590,"{""timeout"": 374590}",35.46827228164795
1,16384,bun,4,3,2,0,116294.56215754426,114796.9186559474,118475.36016106425,561.0,550.0,568.0,681.0,680.0,710.0,,,,0.9851707378711541,0.9846147937568637,0.9866566490771608,8.480946975513652,8.33891067804412,8.586682817082316,3.6264300665141804,3.6046114371669837,3.7031292246098144,8.567477116,8.563139193,8.572372948,0.306687,0.09708,0.543967,16364,16384,16364,16384,16364,16384,16364,16384,16364,16384,0,0,20,9684,8021,10394,1129.4358491947196,935.1778599405104,1211.1430894848068,49152,49132,20,"{""timeout"": 20}",13330,13330,0,{},894151,894151,0,{},2994954,2994954,0,{},0.0
2,64,zhtps,4,3,3,0,321494.4777699982,312566.43791966327,321770.4251859895,0.775,0.775,0.794,1.56,1.55,1.56,,,,1.9518384740659407,1.9404952186004085,1.9530386260491612,6.080561215583498,6.0714119237402695,6.214140729093856,7.091329004263023,7.0071108225932015,7.1097212539263825,8.00061099,8.000544886,8.000692642,0.004017,0.003426,0.010209,64,64,64,64,64,64,64,64,64,64,0,0,0,316,248,597,39.46132657799912,30.96827928443379,74.5555416995337,192,192,0,{},0,0,0,{},1883742,1883742,0,{},7647239,7647239,0,{},0.0
2,64,go,4,3,3,0,151530.33918560678,151456.71829306564,153372.05081177194,1.57,1.57,1.58,4.17,4.05,4.48,,,,1.8710195536733498,1.866190942634329,1.8924048871220058,12.345870163821141,12.322574312793785,12.361673859763494,4.103933510838376,4.0875128051387986,4.123325979481552,8.001031672,8.001007964,8.001097381,0.013675,0.010559,0.078025,64,64,64,64,64,64,64,64,64,64,0,0,0,9,1,24,1.1242046064105375,0.1249158656356212,2.9977231464581626,192,192,0,{},0,0,0,{},870570,870570,0,{},3651350,3651350,0,{},0.0
2,1024,zhtps,4,3,3,0,281000.0286714893,265235.17669921485,291333.464081388,1.83,1.82,1.91,223.0,219.0,223.0,2010.0,2010.0,2010.0,1.7323807977295849,1.6299662291397972,1.7844786139924949,6.149653046915589,6.132599595173179,6.16905543084096,6.935592752648197,6.546596589617936,7.1887540119536135,8.243415529,8.210982585,8.969383434,0.049922,0.036127,0.057928,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,0,0,24,185647,178375,212134,22582.226519503467,19875.72701987248,25717.56271297843,3072,3072,0,{},0,0,0,{},1784859,1784851,8,"{""timeout"": 8}",7087546,7087530,16,"{""timeout"": 16}",0.00022574809391007832
2,1024,go,4,3,3,0,121874.51624507319,120886.28269193563,126558.63553558555,33.2,32.2,33.6,52.7,49.4,60.5,,,,1.9408745328169963,1.9398852145887762,1.9441124621415493,15.964122627355268,15.336713710411738,16.06390114776007,3.9778718376214655,3.9495797715259435,4.116844352457534,8.028197893,8.026816943,8.028290328,0.057547,0.015148,0.608209,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,0,0,0,572,126,633,71.221693779985,15.687061774739421,78.78872673999925,3072,3072,0,{},0,0,0,{},758330,758330,0,{},2964806,2964806,0,{},0.0
2,8192,zhtps,4,3,3,0,182144.26640382764,177437.983572264,182496.8923859672,159.0,153.0,159.0,254.0,252.0,273.0,,,,1.9109467648064982,1.9077004185017645,1.944200473122467,10.661099933680333,10.479400382613981,10.782748393964036,5.57278153312677,5.422348889246223,5.653496575583936,8.529085382,8.336684423,8.54558291,0.097962,0.04841,0.187027,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,0,0,0,15788,13320,23367,1845.2680912174899,1596.7252578518835,2738.200189155155,24576,24576,0,{},0,0,0,{},1182443,1182443,0,{},4591254,4591254,0,{},0.0
2,8192,go,4,3,3,0,105403.31444487553,105186.15556015422,106002.24506288095,323.0,321.0,323.0,388.0,378.0,404.0,,,,1.9431751047058667,1.9219010672630576,1.944814216302458,18.466127407171275,18.15377584828059,18.480002649790244,3.8378979201859247,3.8256156517604967,3.843985462164484,8.323728492,8.25737228,8.333371722,0.115584,0.092381,0.12963,8192,8192,8192,8192,8192,8192,8192,8192,8192,8192,0,0,0,10291,9607,11255,1235.881208587389,1151.8991025497378,1361.3188328159008,24576,24576,0,{},0,0,0,{},738425,738425,0,{},2629206,2629206,0,{},0.0
2,16384,zhtps,4,3,0,0,173814.3972689698,173474.3478407208,176539.59090787647,327.0,327.0,329.0,511.0,509.0,514.0,,,,1.9646796723920275,1.9643952104434712,1.9756929009491273,11.313438998347076,11.207783843443446,11.329015430475188,5.4044332535339725,5.380795189367817,5.481175207343083,8.416045474,8.293669383,8.416230318,0.282284,0.217574,0.670303,16276,16300,16276,16300,16276,16300,16276,16300,16276,16300,0,0,295,16318,15556,17643,1964.580211826808,1847.6305036475944,2094.5232828662997,49152,48859,293,"{""timeout"": 293}",72485,72485,0,{},1205428,1205426,2,"{""timeout"": 2}",4386991,4386991,0,{},0.0
2,16384,go,4,3,3,0,103833.80115176053,102585.8382198687,104014.0063465393,662.0,661.0,670.0,715.0,713.0,720.0,,,,1.946173766888392,1.943899601236748,1.9573614639433368,18.86963313448717,18.714571147013356,18.979220157809124,3.8258829235926295,3.7838504012697314,3.8868151225060434,8.50811576,8.507238891,8.515668587,0.177399,0.076432,0.643384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,0,0,0,16381,15152,16819,1923.4636076549295,1778.58531686375,1974.2749990878792,49152,49152,0,{},0,0,0,{},849993,849993,0,{},2641889,2641889,0,{},0.0
